Treatment,Cultivar,BioRep,MassperSeed_mg,DON,15ADON
Fg,Ambassador,2,15.6125,24.8,0.51
Fg,Ambassador,2,25.60344828,1.7,0.03
Fg,Ambassador,2,35.18181818,9.2,0.16
NTC,Ambassador,2,31.92,0,0
NTC,Ambassador,2,29.9,0,0
NTC,Ambassador,2,42.76666667,0,0
NTC,Ambassador,2,38.15833333,0,0
NTC,Ambassador,2,33.08,0,0
NTC,Ambassador,2,46.35,0,0
NTC,Ambassador,2,35.86666667,0,0
NTC,Ambassador,2,38.45,0,0
NTC,Ambassador,2,34.81,0,0
NTC,Ambassador,2,32.08421053,0,0
NTC,Ambassador,2,38.5875,0,0
NTC,Ambassador,2,34.6625,0,0
NTC,Ambassador,2,38.75384615,0,0
NTC,Ambassador,2,40.38333333,0,0
NTC,Ambassador,2,42.66363636,0,0
Fg + 37,Ambassador,3,29.50625,1.7,0
Fg + 37,Ambassador,3,40.67727273,3.5,0.06
Fg + 37,Ambassador,3,21.32,13.5,0.57
Fg + 37,Ambassador,3,31.63333333,5.8,0.27
Fg + 37,Ambassador,3,17.02777778,39.1,1.2
Fg + 37,Ambassador,3,24.2,4.5,0.05
Fg + 37,Ambassador,3,9.670588235,62.1,2.1
Fg + 37,Ambassador,3,11.58947368,58.8,2.5
Fg + 37,Ambassador,3,20.15714286,16.8,0.43
Fg + 40,Ambassador,3,19.625,0,0
Fg + 40,Ambassador,3,30.83333333,3.4,0.17
Fg + 40,Ambassador,3,7.7,124.5,2.8
Fg + 40,Ambassador,3,14.02352941,60.1,2.4
Fg + 40,Ambassador,3,43.5875,0,0
Fg + 40,Ambassador,3,16.625,7.6,0.16
Fg + 40,Ambassador,3,14.75,27.6,1.9
Fg + 40,Ambassador,3,15.49545455,18.6,0.37
Fg + 40,Ambassador,3,31,0.09,0
Fg + 40,Ambassador,3,14.66153846,23.5,0.45
Fg + 40,Ambassador,3,23.19166667,10,0.41
Fg + 40,Ambassador,3,31.05,2.3,0.03
Fg + 40,Ambassador,3,26.88125,3.2,0.18
Fg + 40,Ambassador,3,16.44166667,18.4,0.46
Fg + 70,Ambassador,3,35.74444444,3.6,0.16
Fg + 70,Ambassador,3,5.555555556,112.3,2.6
Fg + 70,Ambassador,3,31.22352941,10.3,0.24
Fg + 70,Ambassador,3,16.85555556,11,0.31
Fg + 70,Ambassador,3,12.0375,31.6,1.3
Fg + 70,Ambassador,3,16.84285714,34.4,1
Fg + 70,Ambassador,3,8.545454545,63.5,0.9
Fg + 70,Ambassador,3,14.7,6.3,0.28
Fg + 70,Ambassador,3,30.77333333,1.6,0.04
Fg + 70,Ambassador,3,23.3,9.9,0.56
Fg + 70,Ambassador,3,29.76923077,3.8,0.14
Fg + 70,Ambassador,3,28.55454545,5.4,0.1
Fg + 70,Ambassador,3,35.83333333,3.2,0.17
Fg + 70,Ambassador,3,24.77142857,14.7,0.16
Fg + 70,Ambassador,3,7.213333333,97.7,3.4
Fg + 70,Ambassador,3,35.97142857,12.2,0.3
Fg + 70,Ambassador,3,13.23846154,50.7,2.1
Fg + 70,Ambassador,3,10.23076923,54.4,0.76
Fg + 70,Ambassador,3,7.433333333,65.1,1.6
Fg,Ambassador,3,8.68,43,2.6
Fg,Ambassador,3,10.08888889,122,6
Fg,Ambassador,3,35.43076923,8.9,0.35
Fg,Ambassador,3,3.171428571,269,5.4
Fg,Ambassador,3,31.12857143,9.9,0.17
Fg,Ambassador,3,30.48666667,7.2,0.22
Fg,Ambassador,3,11.60714286,97.6,4.3
Fg,Ambassador,3,26.5,3.5,0.23
Fg,Ambassador,3,35.95384615,4.7,0.47
Fg,Ambassador,3,14.24666667,38.4,1.3
Fg,Ambassador,3,23.22,3.2,0.05
Fg,Ambassador,3,22.47692308,23.1,0.84
Fg,Ambassador,3,35.625,5,0.12
Fg,Ambassador,3,41.7375,na,na
Fg,Ambassador,3,37.61764706,3.7,0.09
NTC,Ambassador,3,31.225,0,0
NTC,Ambassador,3,26.51666667,0,0
NTC,Ambassador,3,43.84444444,0,0
NTC,Ambassador,3,44.05294118,0,0
NTC,Ambassador,3,34.29411765,0,0
NTC,Ambassador,3,27.75,0,0
NTC,Ambassador,3,40.05625,0,0
NTC,Ambassador,3,29.22,0,0
NTC,Ambassador,3,48.27142857,0,0
NTC,Ambassador,3,41.58125,0,0
NTC,Ambassador,3,34.85882353,0,0
Fg + 37,Ambassador,4,12.97272727,6.1,0.48
Fg + 37,Ambassador,4,34.36363636,5.4,0.14
Fg + 37,Ambassador,4,15.94848485,37.7,1.6
Fg + 37,Ambassador,4,28.67222222,13,0.99
Fg + 37,Ambassador,4,35.75,2.5,0.16
Fg + 37,Ambassador,4,13.98888889,68.4,4.5
Fg + 37,Ambassador,4,16.9875,35.6,2.6
Fg + 37,Ambassador,4,32.65,0,0
Fg + 37,Ambassador,4,20.8,21.9,0.99
Fg + 40,Ambassador,4,18.385,3,0.08
Fg + 40,Ambassador,4,9.753846154,73.2,5.7
Fg + 40,Ambassador,4,16.90714286,20.6,1.6
Fg + 40,Ambassador,4,21.10882353,13.2,0.96
Fg + 40,Ambassador,4,18.91666667,14,0.56
Fg + 40,Ambassador,4,19.61428571,7.8,0.29
Fg + 40,Ambassador,4,20.44666667,4.8,0.6
Fg + 40,Ambassador,4,34.73636364,5.6,0.14
Fg + 40,Ambassador,4,20.6125,11,0.42
Fg + 40,Ambassador,4,11.93076923,0.21,0
Fg + 40,Ambassador,4,20.63529412,21.7,0.83
Fg + 40,Ambassador,4,14.21764706,35.4,1.7
Fg + 70,Ambassador,4,35.82222222,4.8,0.13
Fg + 70,Ambassador,4,30.1,11.6,0.73
Fg + 70,Ambassador,4,11.53333333,81.4,3.82
Fg + 70,Ambassador,4,31.81538462,8.4,0.33
Fg + 70,Ambassador,4,26.86875,14.6,1.2
Fg,Ambassador,4,27.5187,6.8,0.18
Fg,Ambassador,4,13.94,25.1,1.1
Fg,Ambassador,4,18.0227,15.2,0.46
Fg,Ambassador,4,14.775,51.1,3.1
Fg,Ambassador,4,30.4923,10.2,0.21
Fg,Ambassador,4,29.3,11.3,0.51
Fg,Ambassador,4,29.733,1.2,0
Fg,Ambassador,4,20.3,21.2,0.53
Fg,Ambassador,4,15.255,40.2,2.3
Fg,Ambassador,4,15.6461,5.9,0.35
Fg,Ambassador,4,13.1176,67.8,5.1
Fg,Ambassador,4,19.2612,18,0.42
NTC,Ambassador,4,36.7545,0,0
NTC,Ambassador,4,52.11,0,0
NTC,Ambassador,4,39.64,0,0
NTC,Ambassador,4,42.96,0,0
NTC,Ambassador,4,32.2866,0,0
NTC,Ambassador,4,35.9437,0,0
NTC,Ambassador,4,42.375,1,0
NTC,Ambassador,4,45.3636,0,0
